시도,시군구명,소재지도로명주소,위도,경도
서울특별시,마포구,서울특별시 마포구 홍익로5길 21,37.5538892826,126.9212138626
서울특별시,마포구,서울특별시 마포구 월드컵로14길 36,37.5562151849,126.912481926
서울특별시,마포구,서울특별시 마포구 동교로12길 13,37.5537483764,126.9125256654
서울특별시,마포구,서울특별시 마포구 동교로12안길 41,37.5544337612,126.9146125444
서울특별시,마포구,서울특별시 마포구 양화로7안길 39,37.55346972,126.9150503797
서울특별시,마포구,서울특별시 마포구 동교로 142-13,37.5546507428,126.9182061907
서울특별시,마포구,서울특별시 마포구 잔다리로7안길 4,37.5529631676,126.9170345798
서울특별시,마포구,서울특별시 마포구 독막로3길 46,37.5501307969,126.9178170887
서울특별시,마포구,서울특별시 마포구 양화로7길 4-5,37.5513142612,126.9153977483
서울특별시,마포구,서울특별시 마포구 와우산로21길 24,37.5524506726,126.9227335364
서울특별시,마포구,서울특별시 마포구 어울마당로 55,37.5500575759,126.9208954883
서울특별시,마포구,서울특별시 마포구 독막로7길 39,37.549570917,126.9193860495
서울특별시,마포구,서울특별시 마포구 양화로 78-20,37.55091966,126.9178274689
서울특별시,마포구,서울특별시 마포구 와우산로27길 18,37.5542091837,126.927474171
서울특별시,마포구,서울특별시 마포구 희우정로 98,37.5541863122,126.9021433739
서울특별시,마포구,서울특별시 마포구 동교로3길 56,37.5534244349,126.9012849552
서울특별시,마포구,서울특별시 마포구 토정로3길 22,37.5465050373,126.914570667
서울특별시,마포구,서울특별시 마포구 신촌로2안길 28,37.557002,126.9285552049
서울특별시,마포구,서울특별시 마포구 동교로 54-1,37.5530177053,126.9083006516
서울특별시,마포구,서울특별시 마포구 월드컵북로5길 65,37.5559219077,126.9155217
서울특별시,마포구,서울특별시 마포구 와우산로23길 20,37.55381486,126.9243164478
서울특별시,마포구,서울특별시 마포구 동교로 68,37.55341658,126.9097326046
서울특별시,마포구,서울특별시 마포구 신촌로2길 9,37.55789209,126.9274949
서울특별시,마포구,서울특별시 마포구 와우산로 168,37.5557302149,126.9310282771
서울특별시,마포구,서울특별시 마포구 동교로27길 20,37.5590716112,126.9225852
서울특별시,마포구,서울특별시 마포구 월드컵북로4길 13,37.557127792,126.9204772
서울특별시,마포구,서울특별시 마포구 홍익로6길 30,37.55561377,126.9234653132
서울특별시,마포구,서울특별시 마포구 와우산로29바길 19,37.555491916,126.9259932988
서울특별시,마포구,서울특별시 마포구 와우산로29길 45,37.555547467,126.9275257261
서울특별시,마포구,서울특별시 마포구 월드컵로8길 19,37.5531816646,126.9134026023
서울특별시,마포구,서울특별시 마포구 양화로7길 39,37.552342286,126.9140066491
서울특별시,마포구,서울특별시 마포구 양화로 100-13,37.5525181369,126.9193348915
서울특별시,마포구,서울특별시 마포구 양화로6길 45,37.5489455525,126.9168146298
서울특별시,마포구,서울특별시 마포구 잔다리로 30,37.5513500425,126.9200289
서울특별시,마포구,서울특별시 마포구 토정로 6,37.5441354407,126.9117935753
서울특별시,마포구,서울특별시 마포구 월드컵로16길 52,37.55741513,126.9122799967
서울특별시,마포구,서울특별시 마포구 월드컵북로5길 21,37.5568646285,126.9176231808
서울특별시,마포구,서울특별시 마포구 양화로 82,37.5515990726,126.9173139181
서울특별시,마포구,서울특별시 마포구 월드컵로7길 69,37.5525818053,126.9084202394
서울특별시,마포구,서울특별시 마포구 희우정로 18,37.5490861093,126.9087645734
서울특별시,마포구,서울특별시 마포구 양화로3길 66,37.5519468142,126.9110553418
서울특별시,마포구,서울특별시 마포구 성지1길 33,37.548110569,126.9153800948
서울특별시,마포구,서울특별시 마포구 월드컵로23길 29,37.55650809,126.9076801227
서울특별시,마포구,서울특별시 마포구 희우정로 125,37.555435111,126.8993757856
서울특별시,마포구,서울특별시 마포구 동교로3길 80,37.5541880604,126.9002245
서울특별시,마포구,서울특별시 마포구 희우정로12길 8,37.55348934,126.9035845
서울특별시,마포구,서울특별시 마포구 월드컵로7길 41,37.552819816,126.9097371
서울특별시,마포구,서울특별시 마포구 희우정로5길 9,37.5503599681,126.9062689634
서울특별시,마포구,서울특별시 마포구 성미산로22길 23,37.56194485,126.9213271167
서울특별시,마포구,서울특별시 마포구 동교로39길 11,37.5616944,126.9236664687
서울특별시,마포구,서울특별시 마포구 성미산로29안길 19,37.565405397,126.9233028519
서울특별시,마포구,서울특별시 마포구 토정로4길 20,37.5448116544,126.9147853
서울특별시,마포구,서울특별시 마포구 홍익로 10,37.5537619785,126.9236937948
서울특별시,마포구,서울특별시 마포구 월드컵북로2길 57,37.5574938764,126.9233640413
서울특별시,마포구,서울특별시 마포구 독막로 4,37.5486325033,126.9138652704
서울특별시,마포구,서울특별시 마포구 마포대로 6,37.5372916712,126.9444261234
서울특별시,마포구,서울특별시 마포구 새터산14길 45,37.566142657,126.9090544801
서울특별시,마포구,서울특별시 마포구 새터산14길 35,37.5665464336,126.9089900368
서울특별시,마포구,서울특별시 마포구 손기정로3길 7,37.5580215332,126.9612556
서울특별시,마포구,서울특별시 마포구 손기정로5길 11,37.5576599246,126.9622153917
서울특별시,마포구,서울특별시 마포구 손기정로4길 11,37.5566607199,126.9605661416
서울특별시,마포구,서울특별시 마포구 손기정로4길 20,37.5561617692,126.960963
서울특별시,마포구,서울특별시 마포구 손기정로4길 23,37.5558280917,126.9613337864
서울특별시,마포구,서울특별시 마포구 손기정로4안길 5,37.5566093128,126.960985
서울특별시,마포구,서울특별시 마포구 마포대로6길 28,37.5451253435,126.9538903669
서울특별시,마포구,서울특별시 마포구 월드컵북로12안길 80,37.5651206993,126.9131791598
서울특별시,마포구,서울특별시 마포구 방울내로1길 41-14,37.5594970166,126.8965961822
서울특별시,마포구,서울특별시 마포구 방울내로11길 97,37.5615826813,126.9006273538
서울특별시,마포구,서울특별시 마포구 매봉산로 31,37.5757269662,126.889972593
서울특별시,마포구,서울특별시 마포구 성암로13길 45,37.5762166114,126.8976344746
서울특별시,마포구,서울특별시 마포구 매봉산로2길 27,37.5780051114,126.8954041037
서울특별시,마포구,서울특별시 마포구 새터산4길 2,37.56514413,126.9073359816
서울특별시,마포구,서울특별시 마포구 월드컵북로38가길 26,37.5710934983,126.9056762088
서울특별시,마포구,서울특별시 마포구 성암로7길 14,37.5701561695,126.9068948093
서울특별시,마포구,서울특별시 마포구 월드컵북로38길 25,37.5724317685,126.9035850936
서울특별시,마포구,서울특별시 마포구 성미산로11길 31,37.5618696389,126.9161768503
서울특별시,마포구,서울특별시 마포구 월드컵북로12길 106,37.5657894301,126.9150530194
서울특별시,마포구,서울특별시 마포구 월드컵북로22길 23,37.5648553288,126.9140036995
서울특별시,마포구,서울특별시 마포구 성미산로11길 67,37.56351111,126.9157796124
서울특별시,마포구,서울특별시 마포구 월드컵북로 167,37.5670153009,126.909797762
서울특별시,마포구,서울특별시 마포구 월드컵북로 168,37.5673073971,126.9101839
서울특별시,마포구,서울특별시 마포구 성암로 165,37.5753576268,126.9001869163
서울특별시,마포구,서울특별시 마포구 새터산2길 24,37.56517141,126.9085277294
서울특별시,마포구,서울특별시 마포구 새터산4길 31,37.5657082376,126.908756982
서울특별시,마포구,서울특별시 마포구 새터산6길 19,37.5657136447,126.9081711
서울특별시,마포구,서울특별시 마포구 새터산14길 40,37.56621343,126.9087522506
서울특별시,마포구,서울특별시 마포구 새터산10길 20,37.56600308,126.9080133
서울특별시,마포구,서울특별시 마포구 월드컵북로27길 29,37.56633348,126.9084080307
서울특별시,마포구,서울특별시 마포구 매봉산로 18,37.5741744387,126.8899464636
서울특별시,마포구,서울특별시 마포구 매봉산로2길 81,37.57575337,126.8964290839
서울특별시,마포구,서울특별시 마포구 성암로15길 30,37.57741094,126.8960527271
서울특별시,마포구,서울특별시 마포구 성암로13길 16,37.5772638799,126.8965761
서울특별시,마포구,서울특별시 마포구 성암로15길 51-1,37.5766170565,126.896650172
서울특별시,마포구,서울특별시 마포구 성암로15길 63,37.5760814606,126.8965094
서울특별시,마포구,서울특별시 마포구 매봉산로2길 67,37.5764873129,126.8963414144
서울특별시,마포구,서울특별시 마포구 월드컵북로47길 46,37.5748820891,126.8907326338
서울특별시,마포구,서울특별시 마포구 월드컵북로47길 46,37.5748820891,126.8907326338
서울특별시,마포구,서울특별시 마포구 월드컵북로12길 55,37.5635767812,126.915201994
서울특별시,마포구,서울특별시 마포구 성미산로11길 42,37.5625081057,126.9163332344
서울특별시,마포구,서울특별시 마포구 성산로4안길 15,37.5633687614,126.9099958188
서울특별시,마포구,서울특별시 마포구 방울내로6길 8,37.5590736541,126.9016771372
서울특별시,마포구,서울특별시 마포구 포은로 120,37.55762948,126.9044995328
서울특별시,마포구,서울특별시 마포구 새터산10길 8,37.56584274,126.9073227618
서울특별시,마포구,서울특별시 마포구 새터산6길 7,37.5655667248,126.9074105
서울특별시,마포구,서울특별시 마포구 새터산2길 7,37.5651295626,126.9075129
서울특별시,마포구,서울특별시 마포구 새터산7길 7,37.5655339439,126.9066301548
서울특별시,마포구,서울특별시 마포구 월드컵북로12안길 69,37.56448101,126.9131977763
서울특별시,마포구,서울특별시 마포구 성암로9안길 9,37.5730544543,126.9030452327
서울특별시,마포구,서울특별시 마포구 성암로3가길 27,37.5696535689,126.9105684
서울특별시,마포구,서울특별시 마포구 성암로3나길 12,37.5686390974,126.9106287
서울특별시,마포구,서울특별시 마포구 성암로3가길 12,37.56894498,126.9109033106
서울특별시,마포구,서울특별시 마포구 성암로 43,37.5693499896,126.9116234882
서울특별시,마포구,서울특별시 마포구 동교로 220,37.559646924,126.9239604435
서울특별시,마포구,서울특별시 마포구 동교로 223,37.5599005332,126.9236481484
서울특별시,마포구,서울특별시 마포구 월드컵북로12안길 35,37.5631870693,126.9142856369
