"경상북도",칠곡군,187
"경상북도",예천군,118
"경상북도",봉화군,99
"경상북도",울진군,101
"경상북도",울릉군,11
"경상남도",소계,3624
"경상남도",진주시,331
"경상남도",통영시,162
"경상남도",사천시,186
"경상남도",김해시,509
"경상남도",밀양시,217
"경상남도",거제시,229
"경상남도",양산시,251
"경상남도",창원시,569
"경상남도",의령군,92
"경상남도",함안군,146
"경상남도",창녕군,110
"경상남도",고성군,96
"경상남도",남해군,82
"경상남도",하동군,147
"경상남도",산청군,127
"경상남도",함양군,88
"경상남도",거창군,149
"경상남도",합천군,133
"제주특별자치도",소계,566
"제주특별자치도",제주시,322
"제주특별자치도",서귀포시,244
