소재지도로명주소,위도,경도,관할기관명
서울특별시 종로구 새문안로5길 19,37.5720295562,126.9742933122,종로소방서
서울특별시 종로구 율곡로1길 40-61,37.5782238744,126.9813877282,종로소방서
서울특별시 종로구 율곡로1길 56,37.5783530212,126.9810374305,종로소방서
서울특별시 종로구 율곡로1길 40-35,37.5779020302,126.981330299,종로소방서
서울특별시 종로구 율곡로1길 41,37.5778311016,126.9806445073,종로소방서
서울특별시 종로구 삼청로 22,37.57792911,126.9798657313,종로소방서
서울특별시 종로구 율곡로1길 42,37.5777586862,126.9807948651,종로소방서
서울특별시 종로구 율곡로1길 7,37.5763938006,126.9798969336,종로소방서
서울특별시 종로구 율곡로1길 23,37.5770945665,126.9802678349,종로소방서
서울특별시 종로구 삼청로 143,37.58825711,126.9814294937,종로소방서
서울특별시 종로구 삼청로 145,37.5886328617,126.981333167,종로소방서
서울특별시 종로구 북촌로 112,37.5871430716,126.9844496164,종로소방서
서울특별시 종로구 삼청로9길 57,37.588540448,126.9803947942,종로소방서
서울특별시 종로구 삼청로 134-1,37.5873531787,126.9818914428,종로소방서
서울특별시 종로구 삼청로10길 12,37.587865501,126.9820811,종로소방서
서울특별시 종로구 북촌로 135,37.58732911,126.983165525,종로소방서
서울특별시 종로구 북촌로 137-19,37.5869778949,126.9823518907,종로소방서
서울특별시 종로구 북촌로15길 2,37.5858093171,126.9836737755,종로소방서
서울특별시 종로구 삼청로 118,37.5860252134,126.9819436191,종로소방서
서울특별시 종로구 삼청로 122-1,37.5862500844,126.9818338547,종로소방서
서울특별시 종로구 삼청로 126,37.5866482339,126.9818390793,종로소방서
서울특별시 종로구 북촌로11길 73-10,37.5840390831,126.9826709496,종로소방서
서울특별시 종로구 삼청로4길 21,37.58247311,126.9820087957,종로소방서
서울특별시 종로구 북촌로11길 75,37.5840284349,126.9831797475,종로소방서
서울특별시 종로구 북촌로11다길 32-6,37.58347611,126.9828242764,종로소방서
서울특별시 종로구 북촌로5나길 44-2,37.58254911,126.9823100365,종로소방서
서울특별시 종로구 북촌로5나길 64,37.58347611,126.9823587295,종로소방서
서울특별시 종로구 북촌로5나길 32,37.58206611,126.9822491,종로소방서
